순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"11:58","속독의4가지원리 _책을 빨리 읽는 비결은? [락독]","120,068","4,240","속독강사의성장일기_락독","Good","Good","-","213","21.02.17",""
2,"13:16","FBI가 50년간 숨긴 독서법, 2주만에 속도 5배","70,286","4,220","글눈","Good","Good","-","336","25.11.11",""
3,"10:51","10초만에 속발음 없애기 독서법, 속독법","34,099","25,800","김병완TV","Good","Normal","-","1,584","20.04.05",""
4,"11:28","[속독방법][락독]책을 빨리 읽는 비결은? 속독의 4가지원리","22,594","4,240","속독강사의성장일기_락독","Good","Good","-","213","21.11.08",""
5,"08:54","속독법의 모든 것","159,197","39,200","언어의 정원","Good","Good","-","415","20.01.11",""
6,"14:10","일론 머스크도 배운 독서와 학습의 비밀","1,092,369","384,000","북토크","Good","Good","-","637","21.06.26",""
7,"02:40","[SUB] 믿기지 않는 속도, 30초면 독서 끝! 14세 속독왕","362,237","1,870,000","SBS STORY","Good","Worst","-","93,323","16.10.20",""
8,"00:21","속독 끝판왕","10,147","147","짤모음소","Good","Good","-","489","23.12.20",""
9,"10:48","속발음 없애기 완전판","32,244","2,860","헤르만의서재 - 대신 읽어주는 남자","Good","Good","-","51","24.02.13",""
10,"01:05","40초 컷 가능?! 영어 속독 A1 레벨","545","62","뇌-해킹","Worst","Worst","-","72","25.10.30",""
