순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"08:39","01.초성퀴즈_한국교육과정평가원 교과 문해력 향상을 위한 사고도구어 335","1,440,824","51,500","한글어휘","Good","Good","-","388","24.07.13","https://i.ytimg.com/vi/_OloUtUA6T8/mqdefault.jpg"
2,"00:58","S대 교수님이 강조하는 문해력을 높이는 방법","95,328","350","주니어북살롱","Good","Good","-","179","23.06.27","https://i.ytimg.com/vi/roEXte1CKDk/mqdefault.jpg"
3,"08:31","문해력이 절로 상승하는 헷갈리는 어휘 모음. 어휘력 테스트 1편 #중학생수준 #상식퀴즈 #문해력 #어휘력 #공부 #퀴즈풀기 #독서","1,680,658","98,200","문과언니","Good","Good","-","576","24.03.18",""
4,"16:19","“어릴 때 책을 많이 안 읽어서..”는 핑계입니다. 국어 28점, 독서량 적었던 9등급이 수능 국어 1등급을 찍을 수 있었던 이유ㅣ올바른 국어 공부법ㅣ문해력ㅣ #학부모수업","690,125","391,000","EBSi","Good","Good","-","10,080","24.04.11","https://i.ytimg.com/vi/cGENg0iMaAE/mqdefault.jpg"
5,"00:28","모르면 무식하다는 소리 듣는 문해력 테스트 #맞춤법퀴즈 #문해력 #상식퀴즈","50,516","2,170","인생을 바꿔줄 문해력","Good","Good","-","1,175","23.04.06","https://i.ytimg.com/vi/s7-ehnDBCog/mqdefault.jpg"
6,"01:00","익일","8,608,354","302,000","김주혜 국어","Good","Good","-","346","25.05.10","https://i.ytimg.com/vi/YlNi2Ex0HRg/mqdefault.jpg"
7,"Collected 25:35","책은 절대 우리를 배신하지 않는다📚 '읽기'는 고도의 인지 작업, 차고 넘치는 디지털 시대에도 아날로그 독서가 대체될 수 없는 이유(ft.문해력) | 책맹인류 | #교육다큐멘터리","229,208","391,000","EBSi","Good","Bad","-","10,080","25.06.29","https://i.ytimg.com/vi/OnxgGWCKK9U/mqdefault.jpg"
8,"00:53","소리내어 읽기가 문해력 발달에 도움이 된다?","25,062","350","주니어북살롱","Good","Good","-","179","23.06.30",""
9,"22:29","당신의 문해력 플러스 - 읽었다고 확신하는 사람들_#001","681,056","2,990,000","EBSCulture (EBS 교양)","Good","Worst","-","60,962","22.07.08","https://i.ytimg.com/vi/nVqUJUCGoF4/mqdefault.jpg"
10,"40:00","“여태 잘못된 책 읽어주기를 하고 있었다고요?” 책 읽고 놀아주는 행동이 아이의 천재성을 깨운다│당신의 문해력│알고e즘","655,905","2,990,000","EBSCulture (EBS 교양)","Good","Worst","-","60,962","24.07.27",""
11,"16:48","""용수철? 아빠 친구 이름 같아요"" 혼자서는 교과서도 읽을 수 없다 | 교과서가 나를 골탕 먹이려고 하는 것 같다고 말하는 요즘 아이들의 문해력 | 책맹인류 | #교육다큐멘터리","168,341","391,000","EBSi","Good","Bad","-","10,080","25.06.15",""
12,"19:04","새벽 1~2시까지 공부해도 문해력 때문에 교과서 한두 장에서 그치는 아들을 보고 결국 오열한 엄마｜다큐프라임｜#골라듄다큐","1,498,301","5,370,000","EBSDocumentary (EBS 다큐)","Good","Bad","-","66,755","24.09.06","https://i.ytimg.com/vi/u0iFU3R4OLA/mqdefault.jpg"
13,"22:54","""책 100권 읽힐 시간에 차라리 '이것'을 물어보세요. 가성비 훨씬 좋습니다."" | 자녀의 지능, 문해력, 사고력을 한 번에 향상시키는 이것 (박주봉 소장)","957,730","288,000","가든패밀리 (Garden Family)","Good","Good","-","524","24.07.11",""
14,"37:18","수업 중 교과서 단어의 뜻을 몰라 진도를 나가지 못하는 교실│대한민국 초중학교 학생들의 문해력 실태│교과서를 읽지 못하는 아이들│#골라듄다큐","1,078,126","5,370,000","EBSDocumentary (EBS 다큐)","Good","Worst","-","66,755","23.08.20","https://i.ytimg.com/vi/Em7U-qJfB3c/mqdefault.jpg"
15,"30:45","문해력을 높이는 유일한 방법은요 /집에서 간단히 문해력을 테스트하는 법/ 독서교육전문가 최승필 1부","312,679","74,200","아나운서 엄마의 육아연구소","Good","Good","-","422","23.08.27",""
16,"Collected 21:46","책 100권 읽을 바엔 차라리... 이 영상 1개 보세요 [문해력편]","973,031","87,800","샤학관","Good","Good","-","50","25.05.09",""
17,"01:31","홑몸 vs 홀몸 #문해력 #어휘력 #국어","983,952","18,100","김주혜 이야기","Good","Good","-","59","25.04.05",""
18,"25:38","""요즘 누가 줄글 읽냐, 동영상으로 보내라고..."" 부족한 문해력으로 가정통신문을 읽지 않아 생기는 학부모와 학교의 심각한 소통 문제│당신의 문해력+│알고e즘","304,172","2,990,000","EBSCulture (EBS 교양)","Good","Worst","-","60,962","24.06.09",""
19,"08:37","요즘 심각하다는 문해력 저하 문제. 나는 괜찮을까? 지금 바로 도전 문해력 테스트 ver.1 10문항 #중학생수준 #상식퀴즈 #문해력 #신서유기 #놀토 #공부 #퀴즈풀기 #독서","188,800","98,200","문과언니","Good","Good","-","576","24.01.22",""
20,"16:00","당신의 문해력 - 2부- 공부가 쉬워지는 힘, 어휘력 #002","283,263","2,990,000","EBSCulture (EBS 교양)","Good","Worst","-","60,962","21.03.17",""
21,"01:53","""가결 뜻 몰라요"" 2030 문해력 저하 심각 / KNN","144,479","1,200,000","KNN NEWS","Good","Worst","-","185,221","24.10.10",""
22,"01:23","법조 경력 30년 교수님이 생각하는 문해력 기르는 방법","328,197","159,000","희야기 | HeeChan","Good","Good","-","855","25.06.06",""
23,"00:47","어휘력 문해력 심각한 요즘 신입사원ㅋㅋㅋ #shorts #어휘력 #신입사원","2,958,465","360,000","레블 ReBL ASMR","Good","Good","-","893","24.05.04",""
24,"00:53","충격적인 요즘 애들 문해력 수준 #shorts","2,232,250","351,000","빵공장","Good","Good","-","4,139","25.11.20",""
25,"01:45","정통 vs 전통 #수능국어 #문해력","1,542,066","302,000","김주혜 국어","Good","Good","-","346","25.06.12",""
26,"17:47","[#유퀴즈온더블럭] 내 문해력은 어느 정도일까? 가정통신문을 잘못 이해한 사람들이 많다고?! 느슨해진 문해력에 긴장감을 주는 방법🧐 #조병영","518,430","4,270,000","디글 :Diggle","Good","Worst","-","84,509","23.07.27",""
27,"00:30","문해력기르기 _ 오늘의 사자성어 8 '다독다작' #문해력향상 #문해력 #지식 #사자성어","215","31","지식 더하기","Worst","Worst","-","39","24.12.19",""
28,"00:54","요즘 젊은 학부모들의 수준 #우천시 #문해력","3,134","10","알고리즘 파괴자","Bad","Bad","-","6","24.07.04",""
29,"00:27","바스클 문해력 1단계 1호 같이봐요 #바빠스마트클래스 #문해력 #어휘력 #공부방 #바빠초등문해력 #이솝우화 #독해 #바빠초등문해력교실","499","118","바빠 스마트 클래스_초등문해력_초등수학교실","Worst","Worst","-","85","25.05.22","https://i.ytimg.com/vi/ilXBCWhSl4s/mqdefault.jpg"
30,"00:22","손쉽게 문해력 키우는 비밀🤫 #공부머리대화법 #티처스","31,185","1,260","유일한 100조 - 부자의 눈","Good","Good","-","152","24.03.07","https://i.ytimg.com/vi/rGozNLrn5Ro/mqdefault.jpg"
31,"01:01","초등 저학년, 문해력 훈련을 시작할 때 #초등국어 #국어 #문해력","1,291","131","탑브레인TV","Worst","Worst","-","48","25.05.19",""
32,"49:56","책만 많이 읽어서 문해력이 높아지지 않습니다 / 초등때 잘하던 아이가 중고등때 무너지는 결정적 이유/ 최승필 독서교육전문가 [통합본]","109,852","74,200","아나운서 엄마의 육아연구소","Good","Normal","-","422","25.02.18",""
33,"31:28","""신기하게 이렇게 책 읽은 아이들이 중고등 최상위권 차지해요. 초중등 때 진짜 성적 올려줄 문해력이 키워집니다."" 대부분의 부모들이 착각하는 공부머리 키우는 독서법","39,236","16,800","교육나침반","Good","Good","-","363","26.03.19",""
34,"00:29","문해력이 중요한 진짜 이유","495","1","린둥맘","Worst","Worst","-","36","25.05.09",""
35,"00:46","어휘력 문제 심각한 요즘 애들 국어시간 현실ㅋㅋㅋ #shorts #어휘력 #문해력","1,614,662","360,000","레블 ReBL ASMR","Good","Good","-","893","24.03.09",""
36,"Collected 25:57","책을 제대로 읽으려면 이렇게 해야 합니다 | 서울대 최나야 교수 | 샤로잡다 시즌2 (ENG CC)","155,058","213,000","서울대학교 Seoul National University","Good","Normal","-","396","26.01.08",""
37,"00:55","5살 아이의 문해력 성장 조기 학습 비법 #shorts","113,771","2,990,000","EBSCulture (EBS 교양)","Good","Worst","-","60,962","24.07.16",""
38,"02:46","한자 교육 강화…“생활 속 문해력 향상” / KBS 2026.01.28.","60,705","3,600,000","KBS News","Good","Worst","-","449,508","26.01.28",""
39,"08:00","📚[12월 추천도서] 상위 1% 문해력? 겨울방학 이 책 읽혀요! 유치 초등 추천도서ㅣ독서습관 초등독서","4,499","3,630","엄마공부TV","Bad","Bad","-","300","25.12.24",""
40,"21:26","아이의 문해력, 사고력 확장을 위해 부모가 해줄 수 있는 모든 것 | 초등 자녀 올바른 독서 습관 (콩나물쌤 전병규 작가님)","233,743","288,000","가든패밀리 (Garden Family)","Good","Normal","-","524","23.10.22",""
