순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"09:26","아직 실현되지 않은 스티븐 호킹의 6가지 위험한 예측","5,910,134","527,000","신박과학","Good","Good","-","670","21.09.01",""
2,"13:25","아인슈타인의 상대성 이론 쉽게 이해하기!","4,594,642","1,320,000","EBS 컬렉션 - 사이언스","Good","Good","-","2,964","21.06.24",""
3,"17:00","재능도 운도 아닙니다. 당신을 탁월하게 만드는 단 하나의 비밀","189,164","5,300","라이프스위치","Good","Good","-","21","25.12.13",""
4,"07:58","쉽게 이해하는 아주 기본적인 초끈이론 설명","1,844,861","387,000","지식보관소","Good","Good","-","602","19.03.27",""
5,"10:58","우주 끝까지 절대 갈 수 없는 진짜 이유! (10분 순삭)","8,116,584","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","21.10.02",""
6,"11:57","시간이라는 환상!!! (과거, 현재, 미래는 이미 존재한다)","8,290,347","873,000","1분과학","Good","Good","-","103","17.08.04",""
7,"06:26","지구가 하나의 시뮬레이션이라는 것을 알아챈 하나의 버그 [단편영화]","3,063,471","239,000","엠터","Good","Good","-","577","21.05.23",""
8,"13:30","과학자들이 말하는 현실이 사실은 가짜인 진짜이유","1,218,533","183,000","방구석 과학","Good","Good","-","383","23.03.21",""
9,"34:07","우주가 홀로그램이라는 과학자들의 증명... 우주는 정말로 홀로그램일까?","5,595,961","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","22.04.23",""
10,"13:00","4차원 시공간을 이해하는 방법(민코프스키 시공간)","804,973","119,000","석군 seokkun","Good","Good","-","74","25.04.25",""
11,"07:25","우주가 여러 개다?! (다 중 우 주)","6,044,237","873,000","1분과학","Good","Good","-","103","18.09.18",""
12,"23:00","인간은 우주에서 얼마나 강력한 문명일까? 카르다쇼프 척도!","4,693,959","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","22.09.24",""
13,"12:06","우주 다큐 : 4차원의 공간이 실제로 존재할 수 있다는 걸 증명할 수 있을까?? [EP 126] - 미노스","628,094","264,000","Minos","Good","Good","-","235","21.11.22",""
14,"46:51","[대규모 합작] 차원 -1부-","240,237","26,900","리어","Good","Good","-","226","23.08.19",""
15,"17:03","과학자들은 빛에서 시간이 거꾸로 가는 현상을 관측했습니다","219,895","40,600","신비과학","Good","Good","-","143","25.06.16",""
16,"08:43","1급 기밀(1960): 제 5차원 연구원의 마지막 기록 – 오디오북","273,174","78,900","클립 : 크게 일어서다","Good","Good","-","166","22.09.18",""
17,"10:55","세상이 4차원도 아니고 11차원이라고? 초공간세상과 초끈이론에 관하여","789,276","160,000","뜨억맨의 지식탐구소","Good","Good","-","107","22.08.24",""
18,"10:14","고양이가 살아있으면서 죽어있는 게 양자역학에선 가능하다고? 슈뢰딩거의 고양이!","2,817,347","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","21.01.12",""
19,"07:41","인터스텔라에서 쿠퍼는 어떻게 과거의 딸을 만났을까? 테서렉트로 알아보는 3,4,5차원","2,379,840","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","20.06.17",""
20,"15:47","정말 너무 쉬운 양자역학! (이게 어려우면 날 치시오)","2,286,258","1,830,000","리뷰엉이: Owl's Review","Good","Good","-","764","20.11.26",""
21,"01:13:50","[EN] 조식 뷔페는 핑계고 EP.107","5,410,268","3,210,000","뜬뜬 DdeunDdeun","Good","Good","-","415","26.05.09",""
