순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
1,13:54,"놀라운‼️SIM Yu Jin 심유진 vs WANG Zhi Yi | 인도네시아 오픈 2026",53685,17,"세영 배드민턴",Great,Great,12,2026.06.05,tJB0CAMQab4,tJB0CAMQab4.jpg
2,26:47,"'월급이 100만원도 안돼?' 경제가 반토막난 나라의 미녀경찰과 데이트 - [아르헨티나 4]",201753,120000,"한란 HANRAN",Great,Good,341,2026.06.04,YNDBF7NOXoY,YNDBF7NOXoY.jpg
3,19:51,"오세훈 당선, 통일교 덕분이었어? ""이 사람 정말 무서운 사람이네?"" 서울 난리났다",87539,24400,"민주새봄",Great,Good,12,2026.06.04,1XPue5G0eB0,1XPue5G0eB0.jpg
4,24:52,"역시 유시민의 예언 또다시 적중했구나... 서울시장 오세훈에게 뺏긴 이유..말 한마디에 반박 불가.. 소름주의",56470,5150,"정치관람석",Great,Great,93,2026.06.04,xX3T6Ap19HQ,xX3T6Ap19HQ.jpg
5,21:27,"[삼성전자]내일 장 시작전 모르면 큰일납니다! 반드시보셔야해요 내일 목요일 시초가 미친듯 상승합니다!! 목표가 60만원 무조건 상승하는 장입니다 #삼전 #삼전주가 #삼성전자주가전망",120736,15100,"오늘경제TV",Great,Good,179,2026.06.03,MqwxZQVolvo,MqwxZQVolvo.jpg
6,29:02,"독일인 여성이 꿈을 이루기 위해 한국에 온 이유는? | 윤안나 | 다니엘의 토크노트",61303,17800,"독일 다니엘 Daniel Lindemann",Great,Good,137,2026.06.03,ufgJqovxJ3k,ufgJqovxJ3k.jpg
7,22:41,"한국과 1달러 차이였는데... 60년 만에 가장 먼저 파산한 나라의 충격적 근황",124179,5130,"세계사뒷문",Good,Great,22,2026.06.03,pFw4IrAlqiM,pFw4IrAlqiM.jpg
8,2:17,"리제 콘서트가 가고싶은 유니",152831,32200,"유니 발닦개",Great,Good,1695,2026.06.03,az3WZHpxArI,az3WZHpxArI.jpg
9,21:14,"[삼성전자] 보유자 심장마비 소식!!! 삼성전자 100만 전자 실제 상황!! 글로벌 10위 진입 #삼성전자 #삼전 #삼전주가 #삼성전자주가전망",70915,15100,"오늘경제TV",Great,Good,179,2026.06.03,N_LMoZJAAR8,N_LMoZJAAR8.jpg
10,20:42,"“자기 대표를 쫓아낸 대가” 한동훈 무소속 돌풍에 국민의힘 초비상",52211,6060,"세계정세 프리즘",Great,Great,51,2026.06.03,1FdRfGdq47g,1FdRfGdq47g.jpg
11,5:04,"[달콤레나]레나가 알려주는 버튜버 보는 법",59794,314,"잡오리새기",Great,Great,36,2026.06.03,N5Xls94k1jk,N5Xls94k1jk.jpg
12,8:04,"[돌싱N모솔] 현커 공개! 라방 속보! 두쫀쿠 피해 고통 호소 충격 발표! 전출연자 충격 근황! #돌싱앤모솔#돌싱N모솔#돌싱n모솔#돌싱N모솔",56437,7410,"이스트",Great,Great,428,2026.06.03,qB05IkBduME,qB05IkBduME.jpg
13,1:48,"BTS 정국, 한밤 중 러닝 매진... 한강에서 ""나 잡으면 셀카""",175941,96200,"뉴스1 연예TV",Great,Good,2352,2026.06.02,e09C3EzP-uE,e09C3EzP-uE.jpg
14,23:46,"새롭게 개통!! 지금 안 가면 후회합니다. 개통하자마자 난리 난 동해안 최초의 '섬다리'",182738,77200,"자유와 산 - 걷기 여행 트레킹",Good,Good,154,2026.06.02,VKV9o-UolJU,VKV9o-UolJU.jpg
15,17:42,"[원가공개] 6.3 지방선거 구청장 당선, 실제로 얼마 버나, 임기 4년 수익 구조 전부 공개",195954,14000,"원가 공개 경제학",Great,Good,111,2026.06.01,BC08qmkUUNg,BC08qmkUUNg.jpg
16,34:33,"“1mm만 더 갔어도..” 이재명 피습 숨겨진 폭로, 결국 김건희 측근이 움직였다? (소름돋는 배후 의혹)",50871,2480,"정치바람",Great,Great,38,2026.06.01,tXfYNiol448,tXfYNiol448.jpg
17,4:09,"""별들 사이에 평화는 없다"" 워해머 4만 신규 시네마틱 트레일러 - No Peace Amongst the Stars Warhammer 40,000 Official Trailer",85583,53300,"스틸리젼의 워해머 채널",Great,Good,7120,2026.06.01,IUQYnSN7-4I,IUQYnSN7-4I.jpg
18,35:58,"""그럼 모두 사실이었단 말입니까?!"" 밤10시 JTBC단독! 충격적! ""진짜 김건희였다.."" 국힘 내부 뒤집혀버린 초유의 사태",105419,23700,"민주파란",Good,Good,193,2026.05.31,QG4hqeENP2M,QG4hqeENP2M.jpg
19,9:36,"[2억5천 피해실화]전세놓은 집주인 날벼락 맞았다 | 변호사가 알려주는 반드시 기재해야하는 특약사항 | 부동산전문변호사 김민중",400034,60300,"중변TV 김민중변호사 [법무법인 로윈]",Great,Good,572,2026.05.30,q-gqVEqyMTk,q-gqVEqyMTk.jpg
20,20:21,"'100년 걸린다' 조롱하던 일본… 14년 만에 무너진 '꿈의 소재' 독점",364326,39400,"김재민TV",Great,Good,58,2026.05.30,ULHWH6MCXYc,ULHWH6MCXYc.jpg
21,2:58,"집에서 이렇게만 하세요. 어깨 무조건 넓어집니다😅",191364,8980,"더나로",Great,Great,13,2026.05.30,nlzjGMB66xE,nlzjGMB66xE.jpg
22,20:51,"말이 안 통하는 배우자와 편하게 사는 법｜상대 바꾸려다 내가 무너집니다 ㅣ부부관계 ㅣ가스라이팅 ㅣ자존감 ㅣ배우자 심리 ㅣ부부심리 ㅣ치유심리학",135360,10500,"치유 심리학",Great,Good,23,2026.05.29,6N119ZWk0VU,6N119ZWk0VU.jpg
23,11:27,"이러니 사랑은 말이 안되지",158243,32700,"알아봤음",Great,Good,34,2026.05.29,tATtD-RwMXA,tATtD-RwMXA.jpg
24,14:13,"아빠 엄마 동생이랑 떠나는 첫 가족 여행",473567,959,"김그리",Great,Great,5,2026.05.29,Nycf-2Wu7fE,Nycf-2Wu7fE.jpg
25,11:25,"운동을 하면 뇌가 바뀝니다. 평범한 사람이 꾸준히 운동했더니 생긴 놀라운 변화! 성공한 사람들이 매일 운동하는 이유! 뇌과학 운동법",74521,9190,"바로쓰는 심리학",Great,Great,38,2026.05.29,RIC8BWzPtqQ,RIC8BWzPtqQ.jpg
26,23:00,"“10만원 보톡스로 리프팅까지 합니다” 완전히 달라진 26년 보톡스 트렌드! 티 안나고 자연스럽게 젊어지는 방법을 20년차 피부과 전문의 제대로 알려드립니다.",320856,179000,"피부는 성현철",Good,Good,151,2026.05.29,eJiOcRsVhQM,eJiOcRsVhQM.jpg
27,3:50,"[역전의 토론회] ""네이버 주식·이재명"" 송곳 질문 던졌지만… 하정우 역공에 말문 막힌 한동훈? 연신 공격 실패 현장",238467,59900,"MBC강원영동NEWS",Great,Good,34915,2026.05.29,x0M15sA7Dns,x0M15sA7Dns.jpg
28,15:22,"결혼한 자식집에 자주 가면 안 되는 이유 ( 부모가 가장 늦게 깨닫는 진실 )",69614,4070,"관계 심리학",Great,Great,41,2026.05.29,xOCOsr-2D-g,xOCOsr-2D-g.jpg
29,37:41,"전국 파란물결 대박났다! 국민의힘 이걸 막으려고? 설마...",166251,41800,"판을 읽어주는 사람",Great,Good,191,2026.05.29,o9WKv4jozkk,o9WKv4jozkk.jpg
30,4:49,"왕릉과 궁궐에 박석을 까는 5가지 이유",91224,23600,"역시역사(易視歷史)",Great,Good,80,2026.05.28,c6YX1bL6OzQ,c6YX1bL6OzQ.jpg
31,29:08,"【김형석 교수】 아무리 잘해줘도 며느리는 남입니다 | '이것' 하는 순간 노년이 무너집니다 「인생철학」「삶의지혜」「노후」「노년철학」",189070,3260,"김형석 교수의 경험과 통찰",Great,Great,51,2026.05.28,JLedj6r-Azw,JLedj6r-Azw.jpg
32,31:28,"SK하이닉스 220만 원 돌파! 아직도 버블이라며 안 사고 버티십니까? (매불쇼 ft. 이광수, 최강욱, 최욱)",234202,26900,"시사짤쇼",Great,Good,334,2026.05.28,yFGsva_Wafw,yFGsva_Wafw.jpg
33,42:33,"【성철스님】 ""108배 절해도 소용없습니다, 아침에 이 이름 3번이면 끝"" 60일 만에 악연 끊기고 귀인이 찾아오는 인연의 비밀 | 아침주문 | 인연운",58422,20300,"노후지혜연구소",Good,Good,37,2026.05.28,wGqM18IDtwk,wGqM18IDtwk.jpg
34,23:30,"“이제 3일장 안 합니다” 무빈소 장례 급증에 전국 장례식장이 줄도산하는 진짜 이유",359645,10500,"지식발굴단",Great,Good,47,2026.05.28,5CLFTHx6taA,5CLFTHx6taA.jpg
35,14:23,"[나는 SOLO LIVE] Are you 현커...? 현기증 나니까 당장 말해주세요 //EP6",1113911,489000,"촌장엔터테인먼트TV",Great,Good,5538,2026.05.28,HfF2MfBCs7w,HfF2MfBCs7w.jpg
36,29:14,"새벽에 은밀히 움직이다 딱 걸린 상황, ""제발 한 번만 봐주세요"" 애원하더니 결국...",208383,16800,"올바른정치",Great,Good,111,2026.05.27,0OBZbGXZntM,0OBZbGXZntM.jpg
37,21:09,"드디어 박성재 녹취 풀버전 공개되자 재판장 아수라장, 김건희 이젠 끝났다, 윤석열 멘탈 완전 붕괴",207054,8700,"민주대구청년",Good,Great,22,2026.05.27,dnGubvsprbw,dnGubvsprbw.jpg
38,8:55,"언제적 그램이야 싶지만 2026년에도 여전히 가벼운 가성비 LG 그램 14인치 14Z95U",252370,30000,"인싸이트IT",Great,Good,539,2026.05.27,X8R00AIbShU,X8R00AIbShU.jpg
39,31:22,"왜 우주는 이렇게 거대한가? 파인만의 충격적인 대답",161298,2460,"파인만의 길",Great,Great,4,2026.05.26,h64szT8KuiY,h64szT8KuiY.jpg
40,13:09,"""약보다 효과 2배 좋습니다"" 자율신경 살리는 흉추운동 제대로 하는 방법을 자율신경 전문 한의사가 직접 알려드립니다 | 만성피로, 불면증, 두근거림, 자율신경실조증",123578,40300,"건강 찾아주는 한의사 강준혁 김시진",Great,Good,150,2026.05.26,H03hp1dewDU,H03hp1dewDU.jpg
41,4:06,"피부과 분위기 난리도 아니야~! [SNL 코리아] 시즌 8 ‘스마일 클리닉’ 하이라이트",1584348,904000,"쿠팡플레이 Coupang Play",Great,Good,3231,2026.05.24,uXOGRdTX2pY,uXOGRdTX2pY.jpg
42,4:44,"선풍기+조명 한번에! 알리 초저가 실링팬 셀프설치",278547,20200,"꿈꾸는삼촌 Dreaming Uncle",Great,Good,328,2026.05.24,ZY5_yV-7o-Y,ZY5_yV-7o-Y.jpg
43,4:55,"[리센느] 대표님이 걸그룹 파트 대타 뛴 레전드 사건",133521,262,"리센느며들다",Great,Great,11,2026.05.23,4N3yqc4gbTo,4N3yqc4gbTo.jpg
44,25:07,"""외모는 아빠 머리는 엄마? 유전의 우선 순위 우리가 잘 못 알고 있던 유전자의 모든 것 #과학 #EBS지식",774321,287000,"EBS 지식",Great,Good,806,2026.05.23,TZo7gpkBmKY,TZo7gpkBmKY.jpg
45,40:09,"스벅 퇴출되자 대반전, ""어떻게 이런 생각을..?"" 충격적",655098,42700,"정치일범",Great,Good,267,2026.05.22,st2KI-vX0K8,st2KI-vX0K8.jpg
46,22:53,"산에서 100시간, 살아남을 수 있을까?",543668,282000,"담비",Great,Good,381,2026.05.22,LiYCnifGXBk,LiYCnifGXBk.jpg
47,36:56,"약한 자는 못 버티는 찐텐 폭발 아이오아이 회식 it's show time~",1196283,231000,"IMOS 전소미",Great,Good,83,2026.05.21,SgRHym1Sjw0,SgRHym1Sjw0.jpg
48,32:37,"홍장원이 아니었다 대반전, CCTV에 잡힌 장면! 이럴줄 알았다",802536,42700,"정치일범",Great,Good,267,2026.05.21,N7RUlLDgL7Y,N7RUlLDgL7Y.jpg
49,17:13,"제발 결혼하지 마세요. 40대에 늦게 결혼한 언니의 결혼 조언",479568,19300,"오늘도수정완료",Great,Good,85,2026.05.20,azv1bnCyh3A,azv1bnCyh3A.jpg
