type,start,end,dur_s,reason
KEEP,00:00:00.000,00:00:09.156,9.16,
CUT,00:00:09.156,00:00:09.685,0.53,silence
KEEP,00:00:09.685,00:00:11.777,2.09,
CUT,00:00:11.777,00:00:12.120,0.34,silence
KEEP,00:00:12.120,00:00:13.830,1.71,
CUT,00:00:13.830,00:00:14.309,0.48,silence
KEEP,00:00:14.309,00:00:16.592,2.28,
CUT,00:00:16.592,00:00:17.157,0.57,silence
KEEP,00:00:17.157,00:00:18.746,1.59,
CUT,00:00:18.746,00:00:19.166,0.42,silence
KEEP,00:00:19.166,00:00:22.351,3.18,
CUT,00:00:22.351,00:00:22.994,0.64,silence
KEEP,00:00:22.994,00:00:25.436,2.44,
CUT,00:00:25.436,00:00:26.222,0.79,silence
KEEP,00:00:26.222,00:00:28.735,2.51,
CUT,00:00:28.735,00:00:29.069,0.33,silence
KEEP,00:00:29.069,00:00:31.228,2.16,
CUT,00:00:31.228,00:00:31.706,0.48,silence
KEEP,00:00:31.706,00:00:34.452,2.75,
CUT,00:00:34.452,00:00:35.087,0.63,silence
KEEP,00:00:35.087,00:00:36.933,1.85,
CUT,00:00:36.933,00:00:37.274,0.34,silence
KEEP,00:00:37.274,00:00:39.341,2.07,
CUT,00:00:39.341,00:00:40.192,0.85,silence
KEEP,00:00:40.192,00:00:44.314,4.12,
CUT,00:00:44.314,00:00:45.000,0.69,silence
KEEP,00:00:45.000,00:00:46.398,1.40,
CUT,00:00:46.398,00:00:46.873,0.47,silence
KEEP,00:00:46.873,00:00:48.871,2.00,
CUT,00:00:48.871,00:00:49.296,0.42,silence
KEEP,00:00:49.296,00:00:51.975,2.68,
CUT,00:00:51.975,00:00:52.360,0.39,silence
KEEP,00:00:52.360,00:00:54.429,2.07,
CUT,00:00:54.429,00:00:54.890,0.46,silence
KEEP,00:00:54.890,00:00:56.296,1.41,
CUT,00:00:56.296,00:00:57.221,0.92,silence
KEEP,00:00:57.221,00:00:57.808,0.59,
CUT,00:00:57.808,00:00:58.250,0.44,silence
KEEP,00:00:58.250,00:01:04.074,5.82,
CUT,00:01:04.074,00:01:04.570,0.50,silence
KEEP,00:01:04.570,00:01:12.612,8.04,
CUT,00:01:12.612,00:01:13.669,1.06,silence
KEEP,00:01:13.669,00:01:17.500,3.83,
CUT,00:01:17.500,00:01:18.018,0.52,silence
KEEP,00:01:18.018,00:01:22.453,4.43,
CUT,00:01:22.453,00:01:22.960,0.51,silence
KEEP,00:01:22.960,00:01:25.852,2.89,
CUT,00:01:25.852,00:01:26.236,0.38,silence
KEEP,00:01:26.236,00:01:33.582,7.35,
CUT,00:01:33.582,00:01:33.896,0.31,silence
KEEP,00:01:33.896,00:01:34.886,0.99,
CUT,00:01:34.886,00:01:35.424,0.54,silence
KEEP,00:01:35.424,00:01:36.714,1.29,
CUT,00:01:36.714,00:01:37.230,0.52,silence
KEEP,00:01:37.230,00:01:38.177,0.95,
CUT,00:01:38.177,00:01:38.516,0.34,silence
KEEP,00:01:38.516,00:01:39.961,1.44,
CUT,00:01:39.961,00:01:40.884,0.92,silence
KEEP,00:01:40.884,00:01:42.863,1.98,
CUT,00:01:42.863,00:01:43.335,0.47,silence
KEEP,00:01:43.335,00:01:45.779,2.44,
CUT,00:01:45.779,00:01:46.424,0.65,silence
KEEP,00:01:46.424,00:01:48.818,2.39,
CUT,00:01:48.818,00:01:49.123,0.30,silence
KEEP,00:01:49.123,00:01:55.635,6.51,
CUT,00:01:55.635,00:01:56.646,1.01,silence
KEEP,00:01:56.646,00:01:59.405,2.76,
CUT,00:01:59.405,00:01:59.855,0.45,silence
KEEP,00:01:59.855,00:02:04.337,4.48,
CUT,00:02:04.337,00:02:04.787,0.45,silence
KEEP,00:02:04.787,00:02:05.897,1.11,
CUT,00:02:05.897,00:02:06.236,0.34,silence
KEEP,00:02:06.236,00:02:09.046,2.81,
CUT,00:02:09.046,00:02:09.501,0.46,silence
KEEP,00:02:09.501,00:02:12.295,2.79,
